field_1,field_2
-111.25000,26.25000
-111.25000,27.75000
-112.25000,28.75000
-111.75000,28.25000
-114.75000,31.25000
-112.75000,28.75000
-108.25000,24.75000
-108.75000,25.25000
-110.75000,27.25000
-110.75000,27.75000
-112.25000,27.75000
-112.25000,28.25000
-112.75000,28.25000
-112.25000,29.25000
-112.75000,29.75000
-113.25000,29.75000
-113.75000,29.75000
-113.25000,30.25000
-113.25000,30.75000
-114.25000,30.25000
-114.25000,30.75000
-113.75000,31.25000
-114.25000,31.25000
-114.75000,31.75000
-111.11667,27.93333
-113.64167,31.31667
-113.21667,30.78333
-111.11667,27.93333
-114.48333,31.11667
-113.64167,31.31667
-114.48333,31.11667
-114.50000,31.08000
-114.87000,31.12000
-114.48000,31.12000
-114.62000,30.50000
-114.58000,31.75000
-111.88000,26.88000
-113.64000,31.32000
-114.70000,30.93000
-114.50000,31.67000
-111.12000,27.93000
-113.22000,30.78000
-114.43000,31.38000
-114.70000,31.67000
-114.83000,31.08000
-114.82000,31.02000
-114.80000,31.03000
-114.58333,31.75000
-111.88333,26.88333
-114.46667,31.11083
-114.40056,30.02806
-114.46667,31.11083
-114.46667,31.11083
-114.45972,31.10833
-114.40056,30.02806
-114.34083,31.20556
-114.45972,31.10556
-112.47222,29.57500
-114.46667,31.11083
-114.46667,31.11083
-114.40056,30.02806
-114.45972,31.10556
-114.70417,31.56833
-114.45972,31.10833
-114.45972,31.10833
-114.40056,30.02806
-114.46667,31.11083
-114.40056,30.02806
-112.89500,30.23833
-112.89500,30.23833
-114.71333,31.57306
-114.68833,30.65250
-114.40056,30.02806
-114.79306,31.53611
-114.68833,30.65250
-112.89500,30.23833
-114.40056,30.02806
-114.68833,30.65250
-114.42944,30.03389
-112.89500,30.23833
-114.46667,31.11083
-114.40056,30.02806
-114.76833,31.58389
-114.78639,31.56917
-114.40056,30.02806
-114.40056,30.02806
-114.46000,31.09972
-114.46667,31.11083
-114.42944,30.03389
-114.46000,31.09972
-114.45972,31.10556
-114.68833,30.65250
-112.47333,29.57583
-114.45972,31.10833
-114.46000,31.09972
-114.42944,30.03389
-114.46694,31.11139
-114.78000,31.59917
-114.46667,31.11083
-114.77944,31.56500
